"PointID","x","y","z","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Momentum_z","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
3815, 0.000000000000000e+00, 3.508143103406569e-02, 0.000000000000000e+00, 9.285844066099300e-04, 7.050156055874260e-03, -2.620354466563116e-03, -6.693720021720832e-03, 6.443443820774573e-03, -1.839364462959107e-02, -3.481515353018574e-03, -1.503278179066540e-01, -1.839364462959107e-02
3816, 0.000000000000000e+00, 2.220446049250313e-16, 0.000000000000000e+00, 1.081670875726300e-03, 6.676377998682191e-03, 1.721551410170595e-03, -7.191334639980769e-03, 6.454598574312223e-03, -1.733567164381108e-02, 1.309548933576172e-03, -1.456586383586930e-01, -1.733567164381108e-02
3817, 0.000000000000000e+00, -3.508143103406525e-02, 0.000000000000000e+00, 7.233187897936966e-04, 3.939854543294896e-03, 6.268399820803551e-04, -6.631649174518708e-03, 4.972022657040667e-03, -9.981634725246260e-03, 1.053662006622554e-03, -1.506849447506731e-01, -9.981634725246260e-03
3818, 0.000000000000000e+00, -7.001678543988499e-02, 0.000000000000000e+00, 3.536996715045124e-04, 9.031017964987959e-04, -7.879982112028292e-05, -4.772888684373713e-03, 2.946868861998801e-03, -5.688647790962052e-03, 1.986963063624991e-04, -1.476486823365376e-01, -5.688647790962052e-03
3819, 0.000000000000000e+00, -1.046624095118367e-01, 0.000000000000000e+00, 9.860717314264130e-04, 6.012550084174971e-03, -2.851375730728437e-04, -7.767008478823324e-03, 6.573040373396195e-03, -1.084019978476610e-02, -1.053265509564248e-03, -1.407173739683542e-01, -1.084019978476610e-02
3820, 0.000000000000000e+00, -1.388794104866802e-01, 0.000000000000000e+00, 6.535089954128586e-04, 3.719536362498514e-03, -4.070519560372618e-04, -6.334104840207785e-03, 4.630543685192707e-03, -1.235916908647891e-02, 3.965359962795631e-04, -1.386755900154872e-01, -1.235916908647891e-02
3821, 0.000000000000000e+00, -1.725358298256232e-01, 0.000000000000000e+00, 4.832490163683992e-04, 2.286942686590193e-03, -3.021122374775423e-04, -5.864821705926867e-03, 3.640174487107359e-03, -5.102306740649863e-03, -5.139475003355567e-05, -1.231427775385211e-01, -5.102306740649863e-03
3822, 0.000000000000000e+00, -2.055085816018745e-01, 0.000000000000000e+00, 6.964966087645107e-04, 4.487213843775506e-03, 6.525437324464819e-04, -5.545565131530945e-03, 4.690410167538111e-03, -1.772643991943264e-02, -2.055056795528688e-04, -1.282761159221427e-01, -1.772643991943264e-02
3823, 0.000000000000000e+00, -2.376850992668043e-01, 0.000000000000000e+00, 4.675356403081377e-04, 1.767330542588339e-03, 4.381597426552755e-04, -4.575038687397668e-03, 3.014587303741162e-03, -6.670367465776445e-03, 1.124295444191151e-03, -1.134457086142101e-01, -6.670367465776445e-03
3824, 0.000000000000000e+00, -2.689646500980833e-01, 0.000000000000000e+00, 6.264250904662103e-04, 3.463652682656831e-03, 6.830395167955396e-04, -5.591513407647127e-03, 4.447598623567559e-03, -1.546966968092384e-02, 5.156481322005349e-04, -1.069427780005865e-01, -1.546966968092384e-02
