"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5223, 4.375000747035572e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.545821476476831e-01, 4.078870771791160e-01, 1.139049200956981e-02, -1.450221061978745e-02, 2.415544720162306e+00, 9.312891130901084e-01, 9.755987113157584e-01, 3.659909937422792e-01, -1.090648998569708e+00
5224, 4.166667509881422e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.571300335679330e-01, 3.780210515770764e-01, 3.916319698653896e-03, 2.237019991201769e-03, 2.430843580826772e+00, 9.424730978638249e-01, 9.846865784271019e-01, 3.364053728997189e-01, -9.131254307329379e-01
5225, 3.958334209486165e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.677511106556872e-01, 3.797575418306257e-01, 3.642561209601793e-03, 1.299432486089252e-03, 2.458410079852274e+00, 9.535566267587093e-01, 9.853325057024627e-01, 3.341256568828572e-01, -7.371964006554077e-01
5226, 3.750000853754939e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.737211879337370e-01, 3.760361003032250e-01, 5.348935820550237e-03, 8.492384719124915e-04, 2.477398211037394e+00, 9.619093915289302e-01, 9.878694265348467e-01, 3.284174082974280e-01, -6.046128328741244e-01
5227, 3.541667450592885e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.749590359759965e-01, 3.776195662321563e-01, 5.903016959977130e-03, 2.163823121162695e-04, 2.477407188720963e+00, 9.617039171180749e-01, 9.864044350902885e-01, 3.296322708592924e-01, -6.078743314591288e-01
5228, 3.333334007905137e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.809241645951579e-01, 3.721249988212635e-01, 4.924709131120962e-03, 1.107353215028521e-03, 2.501519702901079e+00, 9.723686963716547e-01, 9.912781553026233e-01, 3.220561355866384e-01, -4.385921210848465e-01
5229, 3.125000533596837e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.860117661940748e-01, 3.695941784829289e-01, 4.639863190474561e-03, 1.259519789077336e-03, 2.517347449250815e+00, 9.792267401159341e-01, 9.931187169253264e-01, 3.179180343883158e-01, -3.297342838740615e-01
5230, 2.916667035573122e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.891519026457497e-01, 3.674209941994062e-01, 4.200470065052887e-03, 1.323073848458449e-03, 2.527570767861338e+00, 9.837286414227150e-01, 9.945172614959052e-01, 3.148197653504474e-01, -2.582755329727781e-01
5231, 2.708333521739130e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.910756600519884e-01, 3.663658799586516e-01, 4.037057990568878e-03, 1.385974665840175e-03, 2.534279089823823e+00, 9.866214384457507e-01, 9.955056694601865e-01, 3.131495527646240e-01, -2.123581199087195e-01
5232, 2.499999999999999e-01, 5.000000000000000e-01, 1.250000000000000e+00, 9.939023097834695e-01, 3.640916633317665e-01, 3.753631644708431e-03, 1.123702788743526e-03, 2.544498324132594e+00, 9.911210353254880e-01, 9.972016621446557e-01, 3.100535207972845e-01, -1.409359472144761e-01
